#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
0.1% 5000 -76338.00815104663 14423.47192884255 -61914.53622220408 298.9132215068097 0 --
0.2% 10000 -76205.48300810462 14230.613682095862 -61974.86932600876 294.91641129955786 871 19:57
0.2% 15000 -76257.71886944071 14245.874176270565 -62011.84469317015 295.2326710391026 870 19:58
0.3% 20000 -76452.7159051004 14441.25490757424 -62011.460997526156 299.281757424299 870 19:57
0.4% 25000 -76798.87436075156 14711.79805872414 -62087.076302027424 304.88851599572916 870 19:57
0.5% 30000 -76624.45250096146 14308.309872309459 -62316.142628652 296.5265935518012 869 19:56
0.6% 35000 -76716.86365989421 14551.167534990711 -62165.6961249035 301.55959577746523 869 19:56
0.7% 40000 -76904.89984133714 14251.741870671174 -62653.15797066597 295.3542736216678 868 19:56
0.7% 45000 -76716.2685562919 14424.371095933766 -62291.897460358145 298.93185591974674 868 19:55
0.8% 50000 -76901.42199145973 14700.648888354774 -62200.77310310496 304.65745966971576 867 19:55
0.9% 55000 -76644.68433802748 14829.741332022795 -61814.94300600469 307.33278211630585 852 20:16
1.0% 60000 -76445.23948413227 14529.686382874119 -61915.55310125815 301.1144186098231 839 20:34
1.1% 65000 -76103.35957291962 15012.97636750531 -61090.38320541431 311.1301600998596 828 20:49
1.2% 70000 -76181.98542633966 14469.768716354538 -61712.21670998512 299.87267994850095 819 21:01
1.2% 75000 -76456.62748811534 14860.256539731723 -61596.370948383614 307.9651817969254 811 21:12
1.3% 80000 -76825.43602668183 14743.848246795533 -62081.58777988629 305.5527267359436 805 21:20
1.4% 85000 -76397.18190773808 14692.264021953646 -61704.91788578443 304.4836910070643 800 21:28
1.5% 90000 -76877.69252253925 14419.484620585601 -62458.20790195365 298.8305882017285 795 21:35
1.6% 95000 -76118.26586162791 14510.99646601594 -61607.26939561197 300.72708723182103 791 21:40
1.7% 100000 -76307.74089546938 14737.540821981169 -61570.20007348822 305.42201114402684 788 21:45
1.7% 105000 -76752.35085432843 14410.970880760426 -62341.379973568 298.65414875561123 785 21:48
1.8% 110000 -76292.36101001549 14463.499360670008 -61828.86164934548 299.7427533043697 782 21:51
1.9% 115000 -76726.0695677264 14665.661547728136 -62060.40801999826 303.93237913777034 780 21:55
2.0% 120000 -76312.41212561983 14177.718639072822 -62134.693486547 293.820210066612 778 21:57
2.1% 125000 -76589.16410622702 14547.227173944679 -62041.93693228234 301.4779354102541 775 22:01
2.1% 130000 -76527.90893973017 14560.01830953796 -61967.89063019221 301.7430199589523 773 22:03
2.2% 135000 -76563.95427648196 14551.871013150492 -62012.08326333147 301.57417471685216 770 22:07
2.3% 140000 -76593.69905701987 14551.729583611814 -62041.969473408055 301.5712437194314 768 22:08
2.4% 145000 -76812.92008042772 14472.567389485457 -62340.352690942265 299.93067988122414 767 22:10
2.5% 150000 -76871.30583753376 14383.245971703742 -62488.059865830015 298.0795754543283 766 22:11
2.6% 155000 -76683.21027241414 14425.302998650386 -62257.90727376376 298.95116874848384 765 22:12
2.6% 160000 -76618.80505872087 14698.770863777489 -61920.03419494338 304.61853933352796 763 22:13
2.7% 165000 -76614.97105459099 14778.076343106373 -61836.894711484616 306.2620726260867 762 22:14
2.8% 170000 -76528.21287546722 14455.81061128088 -62072.402264186334 299.5834110280717 761 22:14
2.9% 175000 -76381.83680804886 14366.46901899001 -62015.367789058844 297.7318885029847 760 22:15
3.0% 180000 -76504.91777512101 14549.043967130758 -61955.873807990254 301.5155867820418 759 22:16
3.1% 185000 -76500.8412811922 14833.482130800472 -61667.35915039173 307.4103067386132 758 22:16
3.1% 190000 -76126.71973063974 14392.090594101119 -61734.62913653863 298.2628721381541 757 22:17
