#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
0.1% 5000 -76062.06845746518 14393.638668420499 -61668.42978904468 298.2949545579918 0 --
0.2% 10000 -75836.28513150362 14847.294231000882 -60988.990900502744 307.6965498420107 860 20:14
0.2% 15000 -76555.50253524556 14538.320624035832 -62017.18191120972 301.2933553355745 859 20:13
0.3% 20000 -76249.2247552023 14157.813223586292 -62091.41153161601 293.4076885948149 858 20:13
0.4% 25000 -76313.59778230976 14520.162736906424 -61793.43504540334 300.9170497855387 858 20:13
0.5% 30000 -76251.97018079364 14532.474217584584 -61719.495963209054 301.1721939262271 858 20:12
0.6% 35000 -76120.13586863315 14593.596007270344 -61526.539861362806 302.43888693532836 858 20:11
0.7% 40000 -76068.14232922236 14622.644030255962 -61445.4982989664 303.0408805587687 858 20:10
0.7% 45000 -76218.11347751925 14387.764206559359 -61830.34927095989 298.1732117260165 858 20:09
0.8% 50000 -75914.0664949764 14232.730859037329 -61681.335635939075 294.96028784905974 858 20:09
0.9% 55000 -76226.33728480265 13907.452939821354 -62318.88434498129 288.21920143120155 844 20:28
1.0% 60000 -75914.13153786374 14634.631710969497 -61279.49982689424 303.28931424229205 830 20:46
1.1% 65000 -76276.94104208487 14523.240138486573 -61753.7009035983 300.9808261096257 819 21:02
1.2% 70000 -76060.66412716302 14447.376872264087 -61613.28725489893 299.4086295253036 811 21:14
1.2% 75000 -76049.80460827342 14426.937287342496 -61622.86732093093 298.9850378820906 804 21:24
1.3% 80000 -76040.35980013688 14172.0644614281 -61868.295338708784 293.70303242290083 797 21:34
1.4% 85000 -76194.92182028206 14806.687257530857 -61388.234562751204 306.85500757566535 792 21:42
1.5% 90000 -76085.34974682928 14432.950214740298 -61652.39953208898 299.1096502852644 784 21:53
1.6% 95000 -76558.54364711979 14752.139629090816 -61806.404018028974 305.72455802627746 781 21:58
1.7% 100000 -75843.74844724356 14584.030076314499 -61259.71837092906 302.24064179346306 777 22:03
1.7% 105000 -75900.7348292641 14523.987747008292 -61376.7470822558 300.99631961027205 773 22:08
1.8% 110000 -75891.92682751104 14244.069153758543 -61647.85767375249 295.19526360373453 770 22:12
1.9% 115000 -76083.22858236253 14251.38733107629 -61831.84125128624 295.3469261138707 767 22:16
2.0% 120000 -75591.34204695206 14206.508258238218 -61384.83378871385 294.416848507976 765 22:19
2.1% 125000 -76148.00961250912 14279.270588891106 -61868.739023618014 295.9247810478734 763 22:22
2.1% 130000 -76439.8588473635 14377.27342705632 -62062.58542030718 297.955799946603 761 22:24
2.2% 135000 -76228.03613977435 14989.689639456019 -61238.34650031834 310.6475640277137 759 22:26
2.3% 140000 -76285.62814369312 14092.664502305213 -62192.963641387905 292.0575411233011 758 22:28
2.4% 145000 -76016.87335617401 14394.707675901192 -61622.16568027282 298.31710875716414 756 22:30
2.5% 150000 -76574.06676207695 14467.011668276207 -62107.05509380074 299.81554265679966 754 22:31
2.6% 155000 -76029.75169281023 14028.85441137311 -62000.897281437115 290.73513553751314 753 22:32
2.6% 160000 -76020.486873323 14290.044235796156 -61730.44263752684 296.14805499464944 752 22:33
2.7% 165000 -75897.39676846474 14358.673473000481 -61538.72329546425 297.5703329651343 751 22:34
2.8% 170000 -76346.21132590748 14316.19789763415 -62030.013428273334 296.69006563901877 750 22:35
2.9% 175000 -76400.38154793152 14408.811911815143 -61991.56963611638 298.60940610517645 749 22:35
3.0% 180000 -76303.62945193145 14629.720194313652 -61673.9092576178 303.1875275661488 748 22:35
3.1% 185000 -76027.6918344463 14596.47765108309 -61431.21418336321 302.49860635930287 747 22:36
3.1% 190000 -76613.56855477902 14509.70850159088 -62103.86005318814 300.70039535088 746 22:36
3.2% 195000 -76054.23241915929 14736.342498790013 -61317.88992036928 305.39717699540836 746 22:36
3.3% 200000 -75801.487112633 14542.979875063735 -61258.50723756926 301.38991403804437 745 22:37
3.4% 205000 -76290.3331667559 14646.88893989789 -61643.444226858 303.5433340652451 744 22:37
3.5% 210000 -76335.67684340358 14172.278930587736 -62163.39791281584 293.7074770994487 743 22:37
3.6% 215000 -76239.59572878758 14309.569789639818 -61930.02593914776 296.55270418243913 743 22:37
3.6% 220000 -76229.36816776701 14231.375243472621 -61997.99292429439 294.9321939603226 742 22:37
3.7% 225000 -75601.0262352374 14465.660833784112 -61135.36540145329 299.78754785140563 741 22:37
3.8% 230000 -76262.71157679455 14477.667768059562 -61785.04380873499 300.03638054733364 741 22:37
3.9% 235000 -75909.9580369525 14341.123770096498 -61568.83426685601 297.2066314751326 740 22:37
4.0% 240000 -76139.60547747523 14149.896586225563 -61989.70889124966 293.24362354940337 740 22:37
4.0% 245000 -75998.24310747453 14650.17846064553 -61348.06464682899 303.61150636444887 739 22:37
4.1% 250000 -76346.4337687112 14497.285678235798 -61849.1480904754 300.44294373537457 739 22:37
4.2% 255000 -75663.52369887009 14367.933530770135 -61295.59016809996 297.7622391658689 738 22:36
4.3% 260000 -76623.45827898095 14410.626127612668 -62212.83215136828 298.6470040629513 738 22:36
4.4% 265000 -75864.41024021004 14522.123125849577 -61342.287114360464 300.9576770476359 737 22:36
4.5% 270000 -76066.01942725529 14368.070977139148 -61697.94845011614 297.76508761575315 736 22:36
4.5% 275000 -76139.20540322196 14167.481564891927 -61971.723838330036 293.6080560972132 736 22:35
4.6% 280000 -76323.21478309715 14197.711057361661 -62125.50372573549 294.23453459165773 736 22:35
4.7% 285000 -76225.9422587257 14486.983349875238 -61738.95890885046 300.22943743297606 735 22:34
4.8% 290000 -75826.09695594612 14295.213511257794 -61530.88344468833 296.25518348553686 735 22:34
4.9% 295000 -76207.3641613447 14282.416904196089 -61924.94725714861 295.9899855456759 734 22:34
5.0% 300000 -76570.08921289683 14306.18037376345 -62263.90883913338 296.4824616483509 734 22:33
5.0% 305000 -75682.70536523935 14367.146046122052 -61315.559319117296 297.7459192690918 734 22:33
5.1% 310000 -76454.2871105528 14554.751974443718 -61899.53513610909 301.63387999623586 733 22:32
5.2% 315000 -76340.77914871235 14597.141099997682 -61743.63804871467 302.512355729312 733 22:32
5.3% 320000 -76254.73017139609 14346.823186961823 -61907.90698443427 297.3247466601817 732 22:31
5.4% 325000 -75780.14506614709 14837.201141053674 -60942.943925093416 307.4873798137428 732 22:31
5.5% 330000 -76191.80423109964 14696.011030461792 -61495.79320063785 304.56134432033787 732 22:30
5.5% 335000 -76470.6909635365 14671.330685108234 -61799.36027842827 304.0498668082709 731 22:30
5.6% 340000 -76478.24202466488 14618.695327309097 -61859.546697355785 302.9590473133169 731 22:29
5.7% 345000 -75777.54798279356 14360.086604887914 -61417.46137790565 297.5996188268859 731 22:29
5.8% 350000 -76501.79018661406 14548.385636764366 -61953.40454984969 301.5019434892476 730 22:28
5.9% 355000 -76392.16602778775 14863.652139449361 -61528.51388833839 308.0355524854499 730 22:27
6.0% 360000 -76114.15339966395 14369.36085935372 -61744.79254031023 297.79181924112214 730 22:27
6.0% 365000 -75989.2371947171 14103.466554590374 -61885.770640126735 292.2814037455166 730 22:26
6.1% 370000 -76535.61097068485 14441.066409019008 -62094.54456166584 299.27785096469813 729 22:25
6.2% 375000 -76284.82670764845 14819.68198721696 -61465.14472043149 307.1243114251301 729 22:24
6.3% 380000 -76381.7165192613 14561.629749468759 -61820.08676979254 301.7764155729456 729 22:23
6.4% 385000 -76069.6296927685 14231.811299368697 -61837.81839339981 294.9412308186669 729 22:23
6.4% 390000 -76329.01122986378 14680.018346137986 -61648.9928837258 304.22991061177214 729 22:22
6.5% 395000 -76547.13829233272 14592.74248574732 -61954.395806585395 302.42119848491006 729 22:21
6.6% 400000 -75855.96107405477 14562.330496942428 -61293.63057711234 301.7909379213684 729 22:19
