#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
0.9% 5000 -76616.46992014875 14567.589309891036 -62048.880610257715 301.8999219945184 0 --
1.8% 10000 -76983.50386150554 14419.071140441762 -62564.43272106378 298.82201920513506 951 1:38
2.7% 15000 -76615.09629725336 14349.142104833363 -62265.954192419995 297.3728041053524 950 1:37
3.6% 20000 -76458.5749577233 14809.442104041329 -61649.132853681964 306.9120992418928 950 1:36
4.5% 25000 -76416.05462628932 14658.166775754567 -61757.88785053475 303.77705686542635 949 1:35
5.5% 30000 -76764.34211782331 14497.37941164019 -62266.96270618312 300.44488627417576 949 1:34
6.4% 35000 -76795.12720809964 14862.876545606054 -61932.25066249359 308.01947901469146 949 1:33
7.3% 40000 -76689.63375246526 14364.091884375412 -62325.54186808985 297.6826245692307 949 1:32
8.2% 45000 -76637.06352812915 14372.560812285747 -62264.5027158434 297.85813532953006 949 1:31
9.1% 50000 -76463.45720205613 14508.190363300668 -61955.266838755466 300.66893332777914 949 1:31
10.0% 55000 -76647.9816622729 14589.950876334622 -62058.030785938274 302.3633449412657 861 1:39
10.9% 60000 -76969.9431990507 14363.991784301461 -62605.95141474924 297.68055008704465 798 1:46
11.8% 65000 -76398.79790794136 14870.10314195002 -61528.69476599134 308.1692435931758 750 1:51
12.7% 70000 -76683.71710036977 14506.651834102891 -62177.06526626688 300.6370487218286 715 1:56
13.6% 75000 -76370.0282525119 14369.893756130323 -62000.13449638157 297.8028630378592 686 1:59
14.5% 80000 -76476.2078268833 14310.685632266644 -62165.52219461666 296.5758289970417 664 2:02
15.5% 85000 -76785.22958018022 14780.264162512702 -62004.965417667525 306.30741317585495 646 2:04
16.4% 90000 -76882.81159078446 14571.931503981792 -62310.880086802674 301.9899099828807 629 2:06
17.3% 95000 -76634.95780080358 14686.257273671587 -61948.70052713199 304.3592066603946 616 2:07
18.2% 100000 -76915.96236811331 14634.697832676466 -62281.26453543684 303.2906845539992 605 2:08
19.1% 105000 -76444.42739173472 14097.767998862277 -62346.65939287244 292.16330640674647 591 2:10
20.0% 110000 -76609.2547519076 14098.671967723853 -62510.58278418375 292.18204033196844 584 2:10
20.9% 115000 -76855.2124698981 14475.448952800041 -62379.763517098065 299.9903976369481 576 2:10
21.8% 120000 -76475.07730526433 14543.141500348795 -61931.93580491554 301.3932635737783 569 2:10
22.7% 125000 -76133.85122969448 14493.641767846797 -61640.209461847684 300.3674270360229 563 2:10
23.6% 130000 -76367.03528503077 14709.094585363904 -61657.94069966686 304.8324889909031 558 2:10
24.5% 135000 -76911.53390010635 14086.41595633116 -62825.11794377519 291.92804574132566 553 2:09
25.5% 140000 -76296.56413005936 14536.293110635928 -61760.271019423424 301.251336980701 549 2:09
26.4% 145000 -76216.85118137018 14413.642461116688 -61803.20872025349 298.7095148071933 545 2:08
27.3% 150000 -77137.84805432972 14290.013419987476 -62847.834634342245 296.1474163652895 541 2:07
28.2% 155000 -76387.87998120792 14472.377753401513 -61915.50222780641 299.9267498473845 538 2:06
29.1% 160000 -76057.80927291737 14575.964720201759 -61481.84455271561 302.07349468837265 534 2:06
30.0% 165000 -76438.1412675563 14491.929281076209 -61946.21198648009 300.33193731899013 532 2:05
30.9% 170000 -76463.4407152375 14058.80169178332 -62404.63902345419 291.35576544596694 529 2:04
31.8% 175000 -76624.058449156 14528.814438706828 -62095.24401044917 301.09634836700604 527 2:03
32.7% 180000 -76612.58261237748 14568.935114497794 -62043.64749787968 301.92781256015405 524 2:02
33.6% 185000 -76611.32043115079 14220.723180858544 -62390.597250292245 294.7114397364177 522 2:00
34.5% 190000 -76971.35107132926 13981.097164526569 -62990.253906802696 289.7454104161539 520 1:59
35.5% 195000 -76792.5745702449 14362.898353725663 -62429.67621651924 297.65788974163553 518 1:58
36.4% 200000 -76963.6032936209 14472.974201708374 -62490.62909191252 299.9391106912746 516 1:57
37.3% 205000 -76388.66770356643 14545.323855511351 -61843.34384805508 301.4384908821081 515 1:55
38.2% 210000 -76430.4074411316 14375.58589146881 -62054.82154966278 297.9208273199457 513 1:54
39.1% 215000 -76183.78145718754 14575.088067250439 -61608.69338993709 302.0553268603271 511 1:53
40.0% 220000 -76237.86139634147 14263.548501283009 -61974.31289505846 295.59895520795544 510 1:51
40.9% 225000 -76225.19039429235 14683.935041023831 -61541.25535326852 304.3110805195283 508 1:50
41.8% 230000 -76524.09639963899 14702.08522640669 -61822.0111732323 304.68722645793355 507 1:49
42.7% 235000 -76511.88033112875 14474.061687291232 -62037.81864383751 299.96164783215977 505 1:47
43.6% 240000 -76470.34520118087 14403.702623859112 -62066.642577321756 298.5035208003014 504 1:46
44.5% 245000 -76477.49150901427 14245.548800221703 -62231.94270879257 295.2259279190379 503 1:44
45.5% 250000 -76325.47590366135 14460.07329626611 -61865.40260739524 299.6717512631753 502 1:43
46.4% 255000 -76429.29954039425 14639.91271236402 -61789.38682803023 303.3987581506247 501 1:41
47.3% 260000 -76814.61980189232 14640.111454353482 -62174.50834753884 303.40287689600115 500 1:40
48.2% 265000 -76918.80444715913 14496.234454162768 -62422.56999299636 300.4211580810089 499 1:38
49.1% 270000 -76639.89206875041 14660.470869508827 -61979.42119924159 303.8248070943682 498 1:37
50.0% 275000 -76712.99108303899 14215.655503237256 -62497.33557980173 294.6064167675507 497 1:35
50.9% 280000 -76553.13628098334 14478.781276063219 -62074.355004920115 300.0594569790131 496 1:33
51.8% 285000 -76479.64898032605 14748.303949020676 -61731.345031305376 305.6450670762419 496 1:32
52.7% 290000 -76838.38311385078 14260.74591197506 -62577.637201875725 295.54087411605656 495 1:30
53.6% 295000 -76737.77887425362 14315.814065211931 -62421.96480904169 296.68211106425264 494 1:29
54.5% 300000 -76590.66338334148 14510.291161458113 -62080.37222188337 300.7124704420104 494 1:27
55.5% 305000 -76533.47714871052 14457.544265875551 -62075.93288283497 299.6193394288361 493 1:25
56.4% 310000 -76602.11116848628 14535.508178265874 -62066.60299022041 301.2350699775443 492 1:24
57.3% 315000 -77000.6998029677 14808.558071770525 -62192.14173119718 306.89377848422185 492 1:22
58.2% 320000 -76466.1314774654 14526.413766377062 -61939.71771108834 301.04659663570214 491 1:20
59.1% 325000 -76097.67979910388 14320.5800335808 -61777.099765523075 296.7808813856958 490 1:19
60.0% 330000 -76456.46542896109 14431.415382473157 -62025.05004648794 299.07784229480916 490 1:17
60.9% 335000 -76591.29989241819 14166.651510287804 -62424.648382130385 293.59085397715717 489 1:15
61.8% 340000 -76433.84869752452 14492.823643216212 -61941.02505430831 300.3504721537221 489 1:14
62.7% 345000 -76668.00082417222 14332.864463598846 -62335.13636057338 297.0354649262736 488 1:12
63.6% 350000 -76289.73958340466 14460.722026561265 -61829.0175568434 299.6851956033016 488 1:10
64.5% 355000 -76956.32085341576 14521.745901184506 -62434.574952231254 300.9498594125738 487 1:09
65.5% 360000 -76043.48680092389 14596.03268148609 -61447.454119437796 302.4893847726857 486 1:07
66.4% 365000 -75927.43585640434 14703.22877796014 -61224.2070784442 304.71092551461606 486 1:05
67.3% 370000 -76096.18387915543 14407.402107035343 -61688.78177212009 298.58018919467776 486 1:04
68.2% 375000 -77139.68577445897 14414.998284391335 -62724.687490067634 298.73761300052826 485 1:02
69.1% 380000 -76651.35498257361 14408.701927801869 -62242.65305477174 298.6071267874169 485 1:00
70.0% 385000 -76565.4531993111 14534.566058255887 -62030.88714105522 301.215545404777 484 0:58
70.9% 390000 -76781.99708321494 14460.863785174888 -62321.133298040055 299.68813342049873 484 0:57
71.8% 395000 -76819.55598094666 14753.667665642808 -62065.888315303855 305.7562251817716 484 0:55
72.7% 400000 -76678.53702014376 14498.393202689773 -62180.14381745399 300.4658961634771 483 0:53
73.6% 405000 -76428.04569419907 14625.60931424459 -61802.43637995448 303.10233334864455 483 0:51
74.5% 410000 -76924.88881348453 14550.197749391402 -62374.69106409313 301.5394978607438 482 0:50
75.5% 415000 -76446.47053291222 14488.291829924869 -61958.17870298735 300.25655448141225 482 0:48
76.4% 420000 -76355.15751157589 14764.455449569596 -61590.7020620063 305.97979210535175 482 0:46
77.3% 425000 -76308.75123219908 14362.199206358733 -61946.55202584035 297.6434005539568 481 0:44
78.2% 430000 -76925.71807865736 14433.464677491174 -62492.253401166185 299.1203120537324 481 0:43
79.1% 435000 -76757.76824203279 14393.298299219072 -62364.46994281372 298.28790071859703 481 0:41
80.0% 440000 -76205.43049036502 14368.728886488396 -61836.70160387662 297.77872218335335 481 0:39
80.9% 445000 -76341.64217379139 14586.033879172635 -61755.60829461875 302.2821687691139 480 0:37
81.8% 450000 -76522.33863459474 14708.515133617966 -61813.82350097677 304.8204803851429 480 0:35
82.7% 455000 -75979.25451877376 14172.871641007512 -61806.38287776624 293.7197604790586 480 0:34
83.6% 460000 -76245.78717741005 14482.785040413506 -61763.00213699654 300.1424313215294 480 0:32
