#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
0.1% 5000 -76698.52426173555 14189.437417648589 -62509.08684408697 293.9870857103964 0 --
0.2% 10000 -76818.39038136738 14290.719667283236 -62527.670714084146 296.0855250302843 921 18:52
0.2% 15000 -76484.49652272614 14360.741859215903 -62123.75466351024 297.5362957363684 919 18:54
0.3% 20000 -76687.02965270309 14496.917025097817 -62190.11262760527 300.35767187591574 918 18:55
0.4% 25000 -76289.63391732541 14310.279002880894 -61979.35491444451 296.49076957251225 917 18:55
0.5% 30000 -77002.93466361912 13966.739062412693 -63036.195601206426 289.37305919748695 916 18:55
0.6% 35000 -76786.76046912104 14008.213490827608 -62778.54697829344 290.23235657357884 915 18:55
0.7% 40000 -76494.12921418801 14391.649773347646 -62102.47944084037 298.1766683835374 915 18:54
0.7% 45000 -76918.84478564328 14363.072981776451 -62555.771803866824 297.5845936292191 915 18:54
0.8% 50000 -76496.1500064596 14224.211634714822 -62271.93837174478 294.7075632340822 915 18:53
0.9% 55000 -76539.36019086998 14631.374323570073 -61907.9858672999 303.14345598890577 900 19:11
1.0% 60000 -76510.94462884613 14798.85995049635 -61712.084678349784 306.6135450353674 887 19:27
1.1% 65000 -76753.8361392961 14312.166000961543 -62441.67013833455 296.5298657713355 878 19:37
1.2% 70000 -76499.5534389679 14673.97867116797 -61825.574767799924 304.02616385252554 870 19:48
1.2% 75000 -76597.69699204157 14516.336954275304 -62081.360037766266 300.7600280945274 863 19:56
1.3% 80000 -77128.77847064592 14633.370865675812 -62495.40760497011 303.1848218005224 858 20:02
1.4% 85000 -76904.79833320956 14478.157943348971 -62426.64038986059 299.96900757502624 853 20:08
1.5% 90000 -77106.27168193957 14413.191322155195 -62693.08035978438 298.6229818608951 849 20:12
1.6% 95000 -76814.33816028023 14441.594573013064 -62372.74358726716 299.2114610724825 848 20:14
1.7% 100000 -76728.56051189115 14524.6834327412 -62203.87707914995 300.9329565065504 845 20:16
1.7% 105000 -76310.15276022143 14639.94017732687 -61670.212582894565 303.3209295777776 842 20:20
1.8% 110000 -76716.89508163343 14293.606459040515 -62423.28862259291 296.1453356817425 839 20:23
