#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
0.1% 5000 -76524.63460241642 14321.971480384194 -62202.66312203223 296.73302282644704 0 --
0.2% 10000 -76011.80873353212 14500.723459070567 -61511.085274461555 300.43653634373504 905 19:13
0.2% 15000 -76503.46713191146 14317.385600626847 -62186.08153128461 296.63800923389937 904 19:13
0.3% 20000 -75885.30573216811 14635.006176585935 -61250.299555582176 303.21870336147134 904 19:13
0.4% 25000 -75989.69156322983 14467.83302938283 -61521.858533847 299.75508849720984 903 19:12
0.5% 30000 -76244.34418789946 14481.886700190149 -61762.45748770931 300.0462626715318 903 19:11
0.6% 35000 -75388.81718575228 14294.897148149832 -61093.92003760245 296.172077117547 903 19:10
0.7% 40000 -76183.63069936406 14647.510320784611 -61536.12037857945 303.47777331640134 903 19:10
0.7% 45000 -76101.86203101961 14497.216558666583 -61604.64547235303 300.363877830272 903 19:09
0.8% 50000 -76027.65723379819 14609.715189004284 -61417.942044793905 302.69470628427786 903 19:08
0.9% 55000 -76655.22827843958 14506.785209888767 -62148.44306855081 300.5621281064591 886 19:28
1.0% 60000 -76382.30222993942 14397.14208598643 -61985.16014395299 298.2904621118552 874 19:43
1.1% 65000 -76389.85635410904 14446.830777689413 -61943.025576419626 299.3199485697435 864 19:56
1.2% 70000 -76139.32689392292 14532.157230239696 -61607.16966368322 301.0878040795091 857 20:05
1.2% 75000 -76414.82340958028 14675.066098283909 -61739.757311296366 304.04869395849994 850 20:14
1.3% 80000 -75615.30317832397 14159.426699013202 -61455.87647931077 293.36530181213425 844 20:21
1.4% 85000 -76464.28301404018 14504.647264078974 -61959.635749961206 300.5178325900459 841 20:26
1.5% 90000 -75727.09878419689 14607.630331961358 -61119.46845223553 302.651510699553 836 20:31
1.6% 95000 -76407.60042873163 14383.263492852797 -62024.33693587883 298.0029153241269 832 20:37
1.7% 100000 -76063.69210391832 14400.674077414813 -61663.01802650351 298.3636404794128 828 20:41
1.7% 105000 -75806.7114669329 14498.413657224084 -61308.29780970882 300.38868018894686 826 20:44
1.8% 110000 -75880.99655253337 14318.748369938603 -61562.24818259476 296.66624407976866 824 20:46
1.9% 115000 -76005.1714019913 14622.00085852606 -61383.17054346525 302.94924972193496 822 20:47
2.0% 120000 -75994.59209015139 14407.362500427338 -61587.229589724055 298.50221609249564 819 20:50
2.1% 125000 -76403.40492253557 14425.55225685213 -61977.852665683444 298.87908469719844 818 20:52
2.1% 130000 -76478.97240896149 14741.694897042496 -61737.27751191899 305.42915787647445 816 20:53
2.2% 135000 -75722.70520432775 14515.812784221458 -61206.89242010629 300.7491679580744 815 20:54
2.3% 140000 -76099.54469222829 14360.690806938695 -61738.85388528959 297.5352379981542 813 20:55
2.4% 145000 -76198.17105214528 14402.26083932192 -61795.91021282336 298.39651616680317 812 20:56
2.5% 150000 -75386.8036849141 14677.841463844388 -60708.96222106972 304.1061960009623 810 20:58
2.6% 155000 -75695.51967883632 14146.638736266234 -61548.88094257009 293.1003514980733 809 20:58
2.6% 160000 -76279.98987298257 14327.58177619181 -61952.40809679076 296.8492610158768 808 20:59
2.7% 165000 -75959.49028964514 14556.04498128927 -61403.44530835587 301.58272788152715 807 20:59
2.8% 170000 -76074.03456403152 14308.72456939716 -61765.30999463436 296.4585636889128 806 21:00
2.9% 175000 -75825.65808043865 14281.313538528259 -61544.34454191039 295.89064201279035 805 21:01
3.0% 180000 -75968.28874903236 14268.659152639753 -61699.62959639261 295.6284592412459 804 21:01
3.1% 185000 -76458.74284817686 14486.592142223448 -61972.15070595341 300.14375344228137 804 21:00
3.1% 190000 -76343.69725921206 14497.857132491434 -61845.84012672062 300.3771497047239 803 21:01
3.2% 195000 -76472.05447445642 14580.587532280339 -61891.466942176085 302.09121830502966 803 21:00
3.3% 200000 -76068.13045600479 14597.028790173064 -61471.101665831724 302.43186024530024 802 21:01
3.4% 205000 -76171.56826560253 14508.379213365053 -61663.189052237474 300.59515382994715 801 21:00
3.5% 210000 -75921.20316662418 14187.05891889806 -61734.14424772612 293.93780624318055 801 21:00
3.6% 215000 -75973.32999676655 14269.836760160475 -61703.493236606075 295.6528577704432 801 20:59
3.6% 220000 -76128.86679058184 14773.875509761148 -61354.991280820694 306.09589921871856 800 20:59
3.7% 225000 -76497.60014993146 14456.583257591346 -62041.016892340114 299.5220075422333 800 20:58
