#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
0.9% 5000 -76364.59527441127 14342.541624533858 -62022.053649877416 297.1592100355101 0 --
1.8% 10000 -76238.3718282299 14661.452407752853 -61576.91942047704 303.76663561558 1.02e+03 1:31
2.7% 15000 -76730.09304743749 15057.466120645062 -61672.62692679243 311.97153577671884 1.02e+03 1:30
3.6% 20000 -76230.72506576726 14522.372082157031 -61708.352983610224 300.8850682638883 1.02e+03 1:29
4.5% 25000 -76532.94695674012 14266.220965961213 -62266.72599077891 295.577943116121 1.02e+03 1:29
5.5% 30000 -76154.94943341427 14310.515332878836 -61844.43410053543 296.49566602931435 1.02e+03 1:28
6.4% 35000 -77004.00814320057 14374.693540666005 -62629.31460253456 297.82535682100126 1.02e+03 1:27
7.3% 40000 -76635.85927070968 14466.52820770229 -62169.3310630074 299.7280542525148 1.02e+03 1:26
8.2% 45000 -76512.17430309155 14340.169772834352 -62172.0045302572 297.11006828673237 1.02e+03 1:25
9.1% 50000 -76666.68166166154 14635.253743012416 -62031.427918649126 303.22383262277316 1.02e+03 1:24
10.0% 55000 -76705.49656137405 14279.122067359554 -62426.3744940145 295.84523751905726 993 1:26
10.9% 60000 -76396.4403763815 14706.981532815033 -61689.45884356648 304.7099411461662 987 1:25
11.8% 65000 -76526.80058806023 14340.795893436623 -62186.0046946236 297.1230407088058 982 1:25
12.7% 70000 -76661.4311872439 14104.626413086957 -62556.804774156946 292.2299096269927 977 1:24
13.6% 75000 -76271.99183722894 14497.097689481841 -61774.894147747094 300.3614150120379 973 1:24
14.5% 80000 -76550.089542289 14870.67592147718 -61679.41362081182 308.10148056055294 970 1:23
15.5% 85000 -76399.36360801483 14526.471231122086 -61872.89237689274 300.96999741383684 967 1:23
16.4% 90000 -76237.34835645996 14475.698544635088 -61761.64981182487 299.9180519635236 964 1:22
17.3% 95000 -76123.08313277096 14545.400256097588 -61577.682876673374 301.3621827221117 961 1:21
18.2% 100000 -76777.38133403118 14270.893624458582 -62506.4877095726 295.67475465372655 954 1:21
19.1% 105000 -76226.554210476 14564.25295190745 -61662.30125856854 301.7527865872116 953 1:20
20.0% 110000 -76306.18374595811 14616.547080988528 -61689.636664969585 302.836254391875 952 1:19
20.9% 115000 -76922.15276775672 14428.283430201183 -62493.86933755554 298.93567113327936 950 1:19
21.8% 120000 -76541.86322835836 14370.153154790221 -62171.71007356814 297.7312858037838 949 1:18
22.7% 125000 -76593.53531996066 14095.523615553893 -62498.01170440677 292.04131124639525 947 1:17
23.6% 130000 -75878.85031398748 14495.111691013944 -61383.738622973535 300.3202676511795 946 1:16
24.5% 135000 -76547.01440322821 14697.28294041482 -61849.73146281339 304.50899865413436 945 1:15
25.5% 140000 -76478.69168324172 14266.591592055765 -62212.10009118595 295.5856220171386 943 1:15
26.4% 145000 -76384.26670852673 14698.453394837874 -61685.81331368886 304.5332489802511 939 1:14
27.3% 150000 -76400.7880507868 14971.619915590572 -61429.168135196225 310.1929116565069 938 1:13
28.2% 155000 -76663.2412540453 14424.747793554381 -62238.493460490914 298.862417241435 937 1:12
29.1% 160000 -76359.59241538425 14418.913581004423 -61940.678834379825 298.74153978206203 936 1:11
30.0% 165000 -76737.40486789838 14537.844401166776 -62199.56046673161 301.20563502358226 936 1:11
30.9% 170000 -76207.69303484885 14808.61516186079 -61399.07787298806 306.8156606002842 935 1:10
31.8% 175000 -76834.08944203268 14312.256537606405 -62521.83290442628 296.53174157539945 934 1:09
32.7% 180000 -76778.42158439723 14099.99571498006 -62678.42586941717 292.13396745527854 933 1:08
33.6% 185000 -76450.9135270409 14336.721431182179 -62114.19209585872 297.0386230360845 933 1:07
34.5% 190000 -76458.16529785635 14313.25283932378 -62144.91245853257 296.55238367908254 930 1:06
35.5% 195000 -76381.83533538843 14591.94941772393 -61789.8859176645 302.3266221122013 929 1:06
36.4% 200000 -76393.3986720877 14791.558019119722 -61601.84065296798 306.46225830973566 929 1:05
37.3% 205000 -76207.79160857285 14685.74584946004 -61522.04575911281 304.2699648117389 928 1:04
38.2% 210000 -76019.85581294632 14501.127638981547 -61518.72817396477 300.4449104371282 928 1:03
39.1% 215000 -76391.31259407708 14759.831080129501 -61631.48151394758 305.80491650979616 927 1:02
40.0% 220000 -76304.97330543507 14528.435349815685 -61776.53795561938 301.01069145361623 927 1:01
40.9% 225000 -76507.71040320637 14563.703134315452 -61944.00726889091 301.7413950664073 927 1:00
41.8% 230000 -75881.2856563043 14870.901353580903 -61010.384302723396 308.1061512268555 926 0:59
42.7% 235000 -76557.21764428215 14498.787420121562 -62058.43022416059 300.3964240805292 926 0:58
43.6% 240000 -76349.9165444838 14881.002764170991 -61468.91378031281 308.3154395991521 924 0:57
44.5% 245000 -75982.03329399502 14436.303852415474 -61545.72944157954 299.10184407471064 924 0:57
45.5% 250000 -76358.04745922408 14225.696378973189 -62132.35108025089 294.738325245619 923 0:56
46.4% 255000 -76447.02255933345 14588.13616060134 -61858.88639873211 302.2476162774004 923 0:55
47.3% 260000 -76281.65348354582 14958.865230412324 -61322.78825313349 309.9286508113206 923 0:54
